room_id,city,title
161997,rome,Pleasant Studio Apartment in Piazza Navona, Rome - Cancelleria Fashionable Loft
162007,rome,Welcoming 1 Bedroom Apartment in Piazza Di Spagna with Aircon
264693,rome,Capo le Case Elegant Apartment
264702,rome,Elegant Apartment Fontanella Borghese
451467,rome,Otto House Roma II
246102,rome,Welcoming 2 Bedroom Apartment in Monte Verde, Rome with Balcony - Lucio's Artistic Place
451597,rome,Lavinia Termini
450810,rome,Roman Walls I
450811,rome,Roman Walls II
450812,rome,Roman Walls III
362243,rome,Crescenzio 2 Bedroom
452238,rome,Suite Capitale Museum
451023,rome,Leopardo
246151,rome,Family-friendly 4 Bedroom Apartment in Trastevere  with Aircon
452536,rome,Stay Testaccio
419456,rome,Mantellate - Studio Apartment in Campo dei Fiori
451182,rome,Colisseum Labicana
451598,rome,Mantellate
451600,rome,Pianellari Loft
451773,rome,Bella Margutta
451776,rome,Margutta Studio
451842,rome,Diamond II
450867,rome,Ara Pacis Deluxe
450937,rome,Casilina
206355,rome,Fantastic 1 Bedroom Apartment in Campo Marzio with Aircon - Altieri Loft Pantheon
167543,rome,Great 2 Bedroom Apartment in Pantheon, Rome with Aircon
205952,rome,Comfortable Apartment Navona Square
169406,rome,Gallery Apartment in Colosseum
451518,rome,Colosseum Monti
440662,rome,Unique Navona Penthouse Terrace
452441,rome,Saint Peter Station II
451371,rome,Trastevere Belli II
451515,rome,Trilussa
450790,rome,Leopard Studio
451581,rome,Modern TPZ
419452,rome,Compact Studio Apartment in Piazza di Spagna with Aircon - Penna
337860,rome,Friendly 2 Bedroom Apartment in Colosseo with Aircon and Parking
450656,rome,Marrucini
450552,rome,Degli Equi I
450799,rome,Tiburtino Living
451199,rome,Farnese Suite
451770,rome,Scala Trastevere Loft
451783,rome,Monserrato Loft
451784,rome,Cartari Suite
451029,rome,Spanish Steps Piccolo
162054,rome,Unbeatable 1 Bedroom Apartment in Campo dei Fiori with Aircon
162066,rome,Vittoria Luxury Apartment Flavio 960B
162075,rome,Coppelle Terrace Lovely Apartment 7
162090,rome,Trastevere Panoramic Terrace Apartment
161982,rome,Good-sized 1 Bedroom Apartment in Campo dei Fiori - Reinassance Square View
162002,rome,Renzi Amazing Terrace
162005,rome,Ara Pacis Enchanting Apartment
264669,rome,Elegant Spanish Steps Flat
264674,rome,Elegant Trevi Fountain Apartment B
264689,rome,Ghetto Enchanting Terrace Apartment
264703,rome,Elegant Trevi Fountain Apartment A
162047,rome,Luxury Panoramic Terrace Campo dei Fiori
451172,rome,Celestino Suite
451028,rome,Sannio Terrace White
451818,rome,Testaccio
452344,rome,San Giovanni House
452346,rome,Testaccio 2
452347,rome,Attico Sannio
165846,rome,Spacious 2 Bedroom Apartment in Colosseo with Aircon and Balcony
337429,rome,Convenient Studio Apartment in Piazza Navona, Rome
264691,rome,Corso Charming Apartment
451987,rome,Trastevere Lovely House
452169,rome,Casa di Lucrezia
337660,rome,Large 1 Bedroom Apartment in Pantheon, Rome with Aircon
344448,rome,Short Stay in Rome Apartment Vatican
451109,rome,Trastevere Terrace C4
452422,rome,Piazza Venezia Penthouse
451584,rome,Modern LG1
451588,rome,Modern LP Loft
451849,rome,San Pietro Charme
451583,rome,Modern LG2
451231,rome,Suite Vaticano
451377,rome,Borromini Suite
451165,rome,Cupolone
451166,rome,Elisa
451169,rome,Flavia II
451449,rome,City Centre Popolo
450877,rome,Torlonia Deluxe
451183,rome,Romantic Vatican
451272,rome,Rione Ponte II
451019,rome,Atmosfere White
265336,rome,Navona Librari Apartment Boutique Domus
170419,rome,Trevi Enchanting Terrace 1 Bedroom Apartment
452044,rome,Trastevere Cuore Verde
162312,rome,Studio Chiavari
162313,rome,Amazing 1 Bedroom Apartment in Piazza di Spagna with Aircon - Mario dei Fiori Suite
162369,rome,Trastevere Loft Scala - 1 Bedroom Apartment in Rome
162296,rome,Beautiful 1 Bedroom Apartment in Campo dei Fiori with Aircon - Farnese Suite Campo di Fiori
162297,rome,Cappellari 2 - 1 Bedroom Apartment in Rome
162298,rome,Cappellari 3 - 1 Bedroom Apartment in Rome
162299,rome,Awesome 1 Bedroom Apartment in Campo dei Fiori with Aircon
162300,rome,Fantastic 1 Bedroom Apartment in Campo dei Fiori
162303,rome,Margutta Studio Apartment - Spanish Steps
244997,rome,Super 1 Bedroom Apartment in Trastevere - Trilussa
162315,rome,Colosseo Labicana - 2 Bedroom Apartment in Rome
362251,rome,Aventino-Testaccio Sibilla-Bis
362224,rome,Sibilla 3 Bedroom
162310,rome,Piazza Navona Suite - 3 Bedroom Apartment in Piazza Navona
450623,rome,Viale Vaticano
162306,rome,Pleasant 1 Bedroom Apartment in Esquilino, Rome with Aircon
162307,rome,Attico Sannio 2
347522,rome,Luxury Apartment Colosseum
264653,rome,Trastevere Panorama Apartment
452524,rome,Julia Domus
187735,rome,Smart Studio Apartment Campo de’ Fiori
167012,rome,Trastevere G - 2 Bedroom Apartment in Roma
451589,rome,Modern SPH
451756,rome,Vaticano Moderno
451782,rome,Borgo Pio
452043,rome,Collina Verde Trastevere
452440,rome,Saint Peter Station I
